Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Pero Antić,C,32,ATL,63,3,16.5,1.7,4.7,.365,0.8,2.7,.301,0.9,2.0,.455,.453,1.4,2.0,.715,0.9,2.1,3.0,0.8,0.3,0.2,0.8,2.1,5.7
Kent Bazemore,SG,25,ATL,75,10,17.7,1.9,4.4,.426,0.6,1.8,.364,1.2,2.7,.467,.498,0.8,1.3,.600,0.3,2.7,3.0,1.0,0.7,0.4,1.0,1.7,5.2
Elton Brand,C,35,ATL,36,4,13.5,1.2,2.6,.442,0.0,0.0,.000,1.2,2.6,.447,.442,0.3,0.6,.522,0.8,2.0,2.8,0.6,0.5,0.7,0.5,1.5,2.7
DeMarre Carroll,SF,28,ATL,70,69,31.3,4.5,9.3,.487,1.7,4.3,.395,2.8,5.0,.567,.579,1.8,2.6,.702,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6
Austin Daye,SF,26,ATL,8,0,9.5,1.3,3.3,.385,0.6,1.8,.357,0.6,1.5,.417,.481,0.1,0.3,.500,0.5,1.3,1.8,1.0,0.5,0.3,0.6,1.1,3.3
Al Horford,C,28,ATL,76,76,30.5,6.8,12.7,.538,0.1,0.5,.306,6.7,12.2,.547,.544,1.4,1.9,.759,1.7,5.4,7.2,3.2,0.9,1.3,1.3,1.6,15.2
John Jenkins,SG,23,ATL,24,3,12.4,2.0,4.1,.495,0.9,2.2,.404,1.2,2.0,.596,.601,0.7,0.8,.842,0.1,1.5,1.6,0.5,0.4,0.0,0.3,0.6,5.6
Kyle Korver,SG,33,ATL,75,75,32.2,3.9,8.0,.487,2.9,6.0,.492,0.9,2.0,.470,.671,1.4,1.6,.898,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1
Shelvin Mack,PG,24,ATL,55,0,15.1,2.1,5.3,.401,0.7,2.3,.315,1.4,3.0,.467,.469,0.5,0.6,.806,0.1,1.3,1.4,2.8,0.5,0.0,0.9,0.6,5.4
Paul Millsap,PF,29,ATL,73,73,32.7,6.1,12.7,.476,1.1,3.0,.356,5.0,9.8,.513,.518,3.5,4.6,.757,1.9,5.9,7.8,3.1,1.8,0.9,2.3,2.8,16.7
Mike Muscala,PF,23,ATL,40,8,12.6,2.1,3.8,.550,0.2,0.6,.409,1.9,3.2,.574,.579,0.6,0.6,.880,1.3,1.7,3.0,0.6,0.4,0.5,0.5,1.3,4.9
Adreian Payne,PF,23,ATL,3,0,6.3,0.7,2.3,.286,0.0,0.3,.000,0.7,2.0,.333,.286,0.3,0.7,.500,0.3,1.0,1.3,0.0,0.3,0.0,0.0,1.3,1.7
Dennis Schröder,PG,21,ATL,77,10,19.7,3.7,8.6,.427,0.7,1.9,.351,3.0,6.7,.449,.466,1.9,2.3,.827,0.4,1.8,2.1,4.1,0.6,0.1,1.9,1.6,10.0
Mike Scott,PF,26,ATL,68,0,16.5,3.0,6.7,.444,1.0,2.8,.344,2.0,3.8,.517,.517,0.9,1.1,.792,0.7,2.3,2.9,1.1,0.4,0.0,0.6,1.2,7.8
Thabo Sefolosha,SF,30,ATL,52,7,18.8,2.0,4.8,.418,0.5,1.5,.321,1.5,3.3,.462,.468,0.9,1.1,.776,1.0,3.3,4.3,1.4,1.0,0.4,0.7,1.3,5.3
Jeff Teague,PG,26,ATL,73,72,30.5,5.6,12.2,.460,1.0,2.8,.343,4.6,9.3,.496,.500,3.8,4.4,.862,0.4,2.1,2.5,7.0,1.7,0.4,2.8,1.9,15.9
